rowikiquote	Q5296	S	1	12530369761
zhwikivoyage	Q5296	S	1	12530369761
udmwiki	Q5296	S	1	12530369761
rowikisource	Q5296	S	1290	12530369761
newiki	Q5296	S	1	12530369761
etwikibooks	Q5296	S	2	12530369761
pswiki	Q5296	S	2988	12530369761
wikidatawiki	Q5296	L.en	29672660	12530369761
simplewiki	Q5296	S	232335	12530369761
ruwiki	Q5296	S	4401	12530369761
ruwiki	P373	X	1893814	6531371917
zhwiki	P373	L.zh-hant	24931	6531371917
ruwiki	P373	X	6611368	6531371917
ruwiki	P373	X	4755359	6531371917
zhwiki	P373	L.zh-sg	3340351	6531371917
zhwiki	P373	L.zh-tw	86591	6531371917
zhwiki	P373	L.zh-tw	5499278	6531371917
zhwiki	P373	L.zh	1756428	6531371917
bawiki	P373	X	14122	6531371917
ruwiki	P373	X	6425522	6531371917
frwiki	Q5	L.en	8347651	5668008721
eswiki	Q5	L.en	407540	5668008721
ruwiki	Q5	L.en	1392367	5668008721
hewiki	Q5	L.en	1450878	5668008721
dewiki	Q5	X	761189	5668008721
eswiki	Q5	L.en	4443113	5668008721
hewiki	Q5	L.en	215613	5668008721
dewiki	Q5	T	5592400	5668008721
eswiki	Q5	L.en	4965615	5668008721
eswiki	Q5	L.en	7035219	5668008721
ruwiki	P18	X	2717460	5304100266
plwiki	P18	L.en	251058	5304100266
plwiki	P18	L.en	1602555	5304100266
ruwiki	P18	X	1662607	5304100266
ruwiki	P18	X	2247730	5304100266
ruwiki	P18	X	3069410	5304100266
ruwiki	P18	X	4808489	5304100266
ukwiki	P18	X	981889	5304100266
ruwiki	P18	X	1304669	5304100266
ruwiki	P18	X	3762901	5304100266
ruwiki	P856	X	6228719	5143708396
ruwiki	P856	X	5431502	5143708396
ruwiki	P856	X	3948267	5143708396
cewiki	P856	X	138917	5143708396
ruwiki	P856	X	5459785	5143708396
iowiki	P856	L.eo	24799	5143708396
cewiki	P856	X	188579	5143708396
bewiki	P856	X	133107	5143708396
ruwiki	P856	X	4243035	5143708396
ruwiki	P856	X	6135938	5143708396
nowiki	Q6581097	L.en	39656	3273952711
hewiki	Q6581097	T	137481	3273952711
eswiki	Q6581097	L.es	2559385	3273952711
eswiki	Q6581097	L.en	1714195	3273952711
ruwiki	Q6581097	L.ru	4149487	3273952711
enwikisource	Q6581097	L.en	145806	3273952711
nnwiki	Q6581097	T	277685	3273952711
eswiki	Q6581097	T	2749085	3273952711
eswiki	Q6581097	T	795391	3273952711
eswiki	Q6581097	L.es	7525611	3273952711
ruwiki	P570	X	6479497	3230549347
bewiki	P570	X	357051	3230549347
ruwiki	P570	X	5894128	3230549347
ruwiki	P570	X	704242	3230549347
bewiki	P570	X	100424	3230549347
arwiki	P570	L.ar	2961350	3230549347
ruwiki	P570	X	3714498	3230549347
ruwiki	P570	X	4446913	3230549347
ruwiki	P570	X	1831238	3230549347
enwiki	P570	L.en	766062	3230549347
ruwiki	P31	X	156626	3153325528
ruwiki	P31	X	3101192	3153325528
ruwiki	P31	X	3550500	3153325528
ruwiki	P31	X	4872756	3153325528
ruwiki	P31	X	2228141	3153325528
ruwiki	P31	X	4955804	3153325528
ruwiki	P31	X	3085600	3153325528
ruwiki	P31	X	4616276	3153325528
ruwiki	P31	X	245255	3153325528
ruwiki	P31	X	5857140	3153325528
ruwiki	P345	X	114271	3064724376
arwiki	P345	L.en	1931717	3064724376
itwiki	P345	X	4677718	3064724376
ruwiki	P345	X	4301637	3064724376
itwiki	P345	X	1651860	3064724376
ruwiki	P345	X	4974499	3064724376
ruwiki	P345	X	1601796	3064724376
ruwiki	P345	X	6821779	3064724376
ruwiki	P345	X	529083	3064724376
itwiki	P345	X	4828489	3064724376
arwiki	P19	L.ar	3433077	2851053904
ruwiki	P19	X	1912464	2851053904
arwiki	P19	L.ar	1496738	2851053904
ruwiki	P19	X	5302176	2851053904
ruwiki	P19	X	5005845	2851053904
ukwiki	P19	X	908015	2851053904
ruwiki	P19	X	5273337	2851053904
ruwiki	P19	X	755701	2851053904
ruwiki	P19	X	987454	2851053904
ruwiki	P19	X	2180279	2851053904
ruwiki	P1559	X	1935867	2571114971
ruwiki	P1559	X	1967900	2571114971
ruwiki	P1559	X	2535595	2571114971
ruwiki	P1559	X	5475790	2571114971
arwiki	P1559	L.en	2759741	2571114971
ruwiki	P1559	X	2498959	2571114971
ruwiki	P1559	X	2865665	2571114971
ruwiki	P1559	X	4864107	2571114971
ukwiki	P1559	X	1815823	2571114971
ruwiki	P1559	X	390463	2571114971
ruwiki	P166	X	6636089	2545366245
ruwiki	P166	X	4068496	2545366245
ruwiki	P166	X	1086940	2545366245
bewiki	P166	X	69817	2545366245
ruwiki	P166	X	141903	2545366245
ukwiki	P166	X	981685	2545366245
ruwiki	P166	X	5087042	2545366245
arwiki	P166	L.ar	1729709	2545366245
ruwiki	P166	X	5314948	2545366245
ruwiki	P166	X	952422	2545366245
ruwiki	P20	X	195464	2497532842
ruwiki	P20	X	5970506	2497532842
ruwiki	P20	X	6458467	2497532842
ruwiki	P20	X	84071	2497532842
arwiki	P20	L.ar	3306084	2497532842
ruwiki	P20	X	4259165	2497532842
ruwiki	P20	X	2889192	2497532842
ruwiki	P20	X	4609171	2497532842
bewiki	P20	X	188775	2497532842
ruwiki	P20	X	6491129	2497532842
ruwiki	P569	X	5246401	2412197025
ruwiki	P569	X	2534753	2412197025
ruwiki	P569	X	6774614	2412197025
ruwiki	P569	X	2033251	2412197025
ruwiki	P569	X	5181799	2412197025
ruwiki	P569	X	6109997	2412197025
ruwiki	P569	X	2389852	2412197025
ruwiki	P569	X	6849154	2412197025
ruwiki	P569	X	2541220	2412197025
ruwiki	P569	X	6806265	2412197025
arwiki	P27	L.ar	2031962	2342197161
ruwiki	P27	X	1773723	2342197161
arwiki	P27	L.en	3433953	2342197161
ukwiki	P27	X	2035049	2342197161
ruwiki	P27	X	5464040	2342197161
ruwiki	P27	X	4264550	2342197161
arwiki	P27	L.en	1770786	2342197161
ruwiki	P27	X	565893	2342197161
ruwiki	P27	X	4451661	2342197161
ruwiki	P27	X	5077535	2342197161
cawiki	Q30	X	705425	2277746226
eswiki	Q30	L.en	4343787	2277746226
huwiki	Q30	X	350790	2277746226
fawiki	Q30	L.fa	2076847	2277746226
eswiki	Q30	L.es	593440	2277746226
arwiki	Q30	T	1964016	2277746226
cawiki	Q30	T	547122	2277746226
eswiki	Q30	L.es	4487080	2277746226
commonswiki	Q30	X	42376458	2277746226
ruwiki	Q30	T	6615563	2277746226
arwiki	P106	L.en	474041	2267267026
arwiki	P106	L.ar	3257824	2267267026
ruwiki	P106	X	5124131	2267267026
ruwiki	P106	X	5392964	2267267026
ttwiki	P106	X	125884	2267267026
ruwiki	P106	X	124695	2267267026
ruwiki	P106	X	872456	2267267026
ruwiki	P106	X	5072973	2267267026
ukwiki	P106	X	1894414	2267267026
ruwiki	P106	X	6891699	2267267026
commonswiki	Q36578	X	7252240	2229315598
commonswiki	Q36578	X	34112064	2229315598
commonswiki	Q36578	X	52134014	2229315598
arwiki	Q36578	X	157822	2229315598
commonswiki	Q36578	X	6538703	2229315598
commonswiki	Q36578	X	44546578	2229315598
commonswiki	Q36578	X	16600961	2229315598
commonswiki	Q36578	X	11032142	2229315598
commonswiki	Q36578	X	45804126	2229315598
ruwiki	Q36578	T	6066506	2229315598
ruwiki	P136	X	6330384	2176414324
ukwiki	P136	X	593757	2176414324
bawiki	P136	X	115000	2176414324
ruwiki	P136	X	110611	2176414324
ruwiki	P136	X	4480669	2176414324
ruwiki	P136	X	6343315	2176414324
ruwiki	P136	X	4508351	2176414324
ruwiki	P136	X	3270277	2176414324
bewiki	P136	X	30102	2176414324
ruwiki	P136	X	115759	2176414324
ruwiki	P1477	X	34105	2155338581
ruwiki	P1477	X	3753148	2155338581
arwiki	P1477	L.ar	3006322	2155338581
ruwiki	P1477	X	918361	2155338581
ruwiki	P1477	X	5348544	2155338581
ruwiki	P1477	X	3811741	2155338581
ruwiki	P1477	X	1287736	2155338581
ruwiki	P1477	X	1361482	2155338581
ruwiki	P1477	X	5007459	2155338581
ruwiki	P1477	X	4593261	2155338581
commonswiki	Q54919	X	45969618	2148531382
commonswiki	Q54919	X	46279780	2148531382
commonswiki	Q54919	X	14861514	2148531382
commonswiki	Q54919	X	25977698	2148531382
commonswiki	Q54919	X	10019171	2148531382
commonswiki	Q54919	X	46136235	2148531382
commonswiki	Q54919	X	7303662	2148531382
commonswiki	Q54919	X	45905593	2148531382
bewiki	Q54919	T	85290	2148531382
commonswiki	Q54919	X	23435141	2148531382
ruwiki	Q37312	L.en	3383570	2142913121
ruwiki	Q37312	L.en	31808	2142913121
ruwiki	Q37312	L.en	9890	2142913121
ruwiki	Q37312	L.ru	1658067	2142913121
ruwiki	Q37312	L.ru	4408860	2142913121
ruwiki	Q37312	L.ru	6771627	2142913121
ruwiki	Q37312	L.en	52307	2142913121
ukwiki	Q37312	L.uk	1687362	2142913121
ruwiki	Q37312	L.en	4324305	2142913121
ruwiki	Q37312	L.en	107332	2142913121
commonswiki	Q423048	X	22509051	2136131564
commonswiki	Q423048	X	5773891	2136131564
commonswiki	Q423048	X	27331283	2136131564
commonswiki	Q423048	X	45639099	2136131564
commonswiki	Q423048	X	7185582	2136131564
commonswiki	Q423048	X	18816709	2136131564
commonswiki	Q423048	X	44520715	2136131564
commonswiki	Q423048	X	54120112	2136131564
hywiki	Q423048	L.hy	752194	2136131564
commonswiki	Q423048	X	13357258	2136131564
ruwiki	Q193563	T	342074	2130725560
commonswiki	Q193563	X	12574509	2130725560
commonswiki	Q193563	X	45337793	2130725560
commonswiki	Q193563	X	14875862	2130725560
commonswiki	Q193563	X	1238056	2130725560
commonswiki	Q193563	X	56853330	2130725560
commonswiki	Q193563	X	5430110	2130725560
commonswiki	Q193563	X	24035208	2130725560
commonswiki	Q193563	X	1532492	2130725560
commonswiki	Q193563	X	5360093	2130725560
ukwiki	Q2597810	T	2388238	2128920607
commonswiki	Q2597810	X	28308908	2128920607
commonswiki	Q2597810	X	45802827	2128920607
commonswiki	Q2597810	X	15464083	2128920607
commonswiki	Q2597810	X	46207379	2128920607
commonswiki	Q2597810	X	23932116	2128920607
commonswiki	Q2597810	X	46127372	2128920607
commonswiki	Q2597810	X	1950094	2128920607
commonswiki	Q2597810	X	37550153	2128920607
commonswiki	Q2597810	X	6456174	2128920607
commonswiki	Q2494649	X	5484643	2114531894
commonswiki	Q2494649	X	31728140	2114531894
commonswiki	Q2494649	X	1054245	2114531894
commonswiki	Q2494649	X	48051178	2114531894
commonswiki	Q2494649	X	6740722	2114531894
ruwiki	Q2494649	L.ru	4154328	2114531894
commonswiki	Q2494649	X	1170807	2114531894
ruwiki	Q2494649	L.en	4372916	2114531894
commonswiki	Q2494649	X	1870187	2114531894
commonswiki	Q2494649	X	18825617	2114531894
arwiki	Q33999	L.ar	2756430	2108672678
dewiki	Q33999	T	5400304	2108672678
dewiki	Q33999	L.en	6665212	2108672678
lawiki	Q33999	L.en	63460	2108672678
dewiki	Q33999	L.de	1406010	2108672678
dewiki	Q33999	L.de	983624	2108672678
frwiki	Q33999	L.en	1458784	2108672678
dewiki	Q33999	L.de	7522722	2108672678
frwiki	Q33999	X	2839719	2108672678
cawiki	Q33999	L.en	262647	2108672678
ruwiki	Q17299517	L.en	912802	2105487660
bewiki	Q17299517	L.be	45002	2105487660
commonswiki	Q17299517	X	7031722	2105487660
ruwiki	Q17299517	L.en	6120064	2105487660
commonswiki	Q17299517	X	47265997	2105487660
commonswiki	Q17299517	X	20305375	2105487660
commonswiki	Q17299517	X	2081362	2105487660
commonswiki	Q17299517	X	45092802	2105487660
commonswiki	Q17299517	X	56079042	2105487660
