project,t_per,x_per,l_per,o_per,s_per,count
frwikisource,0.190128992969053,0.204085700049826,0.320135082765875,0.00011072357858606,0.285539500636661,180630
dewikivoyage,0.0757975919658214,0.242922931809355,0.56419020140931,0.00049381346057815,0.116595461354935,180230
be_x_oldwiki,0.0243303930385891,0.0369393139841689,0.0728303662364426,0.222142146673258,0.643757780067541,167897
bswiki,0.105273472187349,0.127424382536484,0.0021556871559015,0.00636295157665244,0.758783506543613,163289
itwikisource,0.176827755507097,0.22382904822219,0.392188866980923,0.0285376650170403,0.17861666427275,153166
scowiki,0.104165905219991,0.104816485259611,0.00993413790834862,0.175166848195554,0.605916623416496,136801
ptwikisource,0.241166016571653,0.121079234657373,0.377755210376901,0.118071102699625,0.141928435694448,129981
tlwiki,0.129283944537634,0.0861251750511688,0.139994767701328,0.0284621658638679,0.616133946846001,129962
vowiki,0.00205647517039922,0.0272171372930867,0.0181032132424537,1.55793573515093e-05,0.952607594936709,128375
htwiki,0.269753203009412,0.279015959958447,0.0184389460761167,0.000346271287814399,0.432445619668209,127068
enwikivoyage,0.254521039215844,0.251955967610945,0.0210110724250782,0.208582938655388,0.263928982092745,124363
newwiki,0.0019799882667362,0.193378854051235,0,6.51847989048954e-05,0.804575972883124,122728
mgwiki,7.40466493891151e-05,0.0444855814718828,2.46822164630384e-05,0.247233534904768,0.708182154757497,121545
itwikiquote,0.292735492452624,0.235951272488487,0.209019809231961,0,0.262293425826928,118783
bnwiki,0.0920909344161271,0.118268768096979,0.0235186857900202,0.04156712449033,0.724554487206544,118459
iowiki,0.0930646418765466,0.114767296023864,0.508728517677367,2.54228670214569e-05,0.283414121555202,118004
sqwiki,0.0940021830598289,0.134519400311599,1.86586310162423e-05,0.000121281101605575,0.77133847689595,107189
dewikisource,0.00504592700024172,0.000765450004028684,0.0402868423172992,0.0694343727338651,0.884467407944565,99288
zhwikisource,0,0.0655087651860769,0,0,0.934491234813923,98857
mlwiki,0.0592661697917841,0.100478763212122,0.0363326942989246,0.0698051115918108,0.734117261105359,97543
brwiki,0.00319981413620859,0.0851805307678498,0.00915590381548794,0.0340257463592874,0.868438004921166,94693
arwikisource,0.00518495241515532,0.480023343508709,0.000808044532231999,0,0.513983659543904,89104
kywiki,0.142595772861456,0.225219157939635,0.0025367321053754,0.00118979470429112,0.628458542389242,89091
jvwiki,0.00587413878662681,0.0774486157113017,0.00664735548349125,0.0866464322396741,0.823383457778906,86651
lbwiki,0.00518206634895665,0.166277240549669,0,0.000173506685790959,0.828367186415583,86452
srwikinews,0,0.0264348850913377,0,0,0.973565114908662,84850
iswiki,0.136186073182095,0.190756071629096,0,0.000143353761244311,0.672914501427565,83709
tewiki,0.0144911545110155,0.072627410594971,0.00277072835828215,0.0396974266553876,0.870413279880344,81567
zh_yuewiki,0.0101353089468539,0.0333384781602099,0.0100066882749395,0.0160132736533416,0.930506250964655,77748
pmswiki,0,0.030494460514108,0,0.0178464225290618,0.95165911695683,73292
mrwiki,0.0118068378937944,0.0940909853953332,0.0240613284091545,0.0180879637401377,0.85195288456158,71484
afwiki,0.0959675121117127,0.103576517526361,0,0.0235252208606441,0.776930749501282,70180
fywiki,0.00581229292813892,0.0881697703644465,0.0340169084885182,0,0.872001028218896,70024
astwiki,0.0352167293827019,0.0237985809898601,0.10457300433746,0.0422686927297274,0.79414299256025,69626
guwiki,0.276228477252028,0.28133177198537,0.00112764019603591,0.00478524237035752,0.436526868196209,69171
ckbwiki,8.73209919664687e-05,0.0261235300966352,8.73209919664687e-05,0.186168354872511,0.78753347304692,68712
lmowiki,0.0440822280267309,0.0352284677227857,0.110264934360053,0.101326367922928,0.709098001967502,58958
metawiki,0.0217414491929176,0.31865533669914,0.468481120671265,0.152705681575766,0.0384164118609116,56252
ndswiki,0.0917166651741739,0.0432882600519387,0.252314856272947,0.0891734575087311,0.523506760992209,55835
ilowiki,0.126677684749641,0.0782041735529685,0.135050217032019,0.212182851746245,0.447885072919126,55061
alswiki,0.159399948962852,0.132477853523386,0.13523021399147,0.0433633480368926,0.5295286354854,54862
cvwiki,0.0127927427566417,0.0395815977043414,0.0258816995279089,0.0233083402758493,0.898435619735259,54015
anwiki,0.000114646030381198,0.0618897487341167,0.000343938091143594,0.000114646030381198,0.937537021113977,52335
swwiki,4.08847459013042e-05,0.0322376221431784,8.17694918026085e-05,2.04423729506521e-05,0.967619281246167,48918
mywiki,0.0141876240900066,0.0409703838517538,0.00219225678358703,0.0029988418266049,0.939650893448048,48352
pnbwiki,0.00395666314502931,0.011807842893543,6.2146541544963e-05,0.00254800820334348,0.981625339216539,48273
newiki,0.0865229568021726,0.112598659085123,0.00666214037172197,0.00390392938979886,0.790312314351184,47132
frwikivoyage,0.222740161539783,0.133614023028012,0.332960989860801,0.14065990720055,0.170024918370854,46552
gawiki,0,0.0274601049235024,0,0.000834119893759466,0.971705775182738,45557
itwikivoyage,0.253739376135268,0.212253044199762,0.212140918978315,0.0983113941650035,0.223555266521651,44593
fowiki,0.0702630019599799,0.234012489174529,0.132822826929213,0.0894069921144993,0.473494689821779,43878
frwikinews,0.0305713734195541,0.114781391757552,0.10930412122382,0.0137293697519544,0.731613743847119,41444
eswikisource,0.0487190256194876,0.109815450749809,0.195765496454777,0,0.645700027175927,40477
myvwiki,0.0893345254821816,0.602529058628177,0.13495976497637,0.0466726274109082,0.126504023502363,39145
kuwiki,0.0534245862392006,0.100681794524826,0.0160299781409389,0.00728635370042677,0.822577287394608,38428
fawikivoyage,0.249290295447377,0.239906424140469,0.0944169908526969,0.188807696351593,0.227578593207865,38044
enwikinews,0,0.0729358294556866,0,2.70533492046315e-05,0.927037117195109,36964
yowiki,2.71171733058546e-05,0.0145076877186322,5.42343466117092e-05,0.000298288906364401,0.985112671855086,36877
cswikisource,0.0604592258135565,0.0298166400528605,0.104234348328837,0.0678101426132922,0.737679643191454,36322
barwiki,0.0390070921985816,0.0755208333333333,0.00116356382978723,0.0036292109929078,0.88067929964539,36096
enwikiquote,0,0.00668010365678088,0,2.87935502447452e-05,0.993291102792974,34730
plwikiquote,0,0.0390446642861324,0,2.9268863782708e-05,0.960926066850085,34166
ruwikiquote,0.294949193066348,0.30008965929468,0,0,0.404961147638972,33460
ruwikinews,0.171453675089378,0.195934072592862,0.000363570259952736,0.0387202326849664,0.593528449372841,33006
pawiki,0.0491733656908843,0.0631882299408464,0.0154102836341574,0.0532686182314576,0.818959502502654,32965
bpywiki,0,0.0122437707131459,0,0,0.987756229286854,32588
knwiki,0.0253908773743378,0.0970409613645174,0.00878666494379119,0.0691949864323556,0.799586509884998,30956
mnwiki,0.00253452477660439,0.0232656376929326,0.00571892770105605,0.00601137286758733,0.96246953696182,30775
scnwiki,0,0.0597250024611952,0,0.0262855642700095,0.913989433268795,30473
suwiki,0.0120117155362491,0.0849705466153289,0,0.0013492611972225,0.9016684766512,30387
quwiki,0,0.0701474691111997,0,0,0.9298525308888,30108
zhwikivoyage,0.113665303934053,0.0933918638160981,0.688291669459152,6.70196367535688e-05,0.104584143153944,29842
abwiki,0.00305256448961793,0.0046291637315085,0.927040354231659,3.35446647210761e-05,0.065244372882493,29811
arzwiki,0.031673896577842,0.0699579976588859,0.00309853336087585,0.00674791709701852,0.888521655305378,29046
siwiki,0.0306058495821727,0.167722841225627,0.00459610027855153,0.0202298050139276,0.776845403899721,28720
orwiki,0.0886344359626802,0.0956672321176138,0.0269296013570823,0.106198756007916,0.682569974554707,28296
dewikinews,0,0.270154027129361,0,0,0.729845972870639,27203
napwiki,0.00824997010880395,0.0174166035630306,0.000119564784185565,0.323741580646447,0.650472280897533,25091
map_bmswiki,0,0.227480182560653,0,0,0.772519817439347,24978
